阶段,Poly-3 平均耗时(s)
encrypt,0.014042139053344727
conv1,137.2529013156891
act1,23.99445695877075
pool,0.3202402114868164
repack,0.27106223106384275
fc1,1.0557276248931884
act2,0.04662690162658691
fc2,0.19507317543029784
decrypt,0.0023177146911621095
total,163.15556678771972
