阶段,Poly-3 平均耗时(s),Poly-5 平均耗时(s)
encrypt,0.010769977569580078,0.014361792802810669
conv1,106.11555943965912,183.62257145762445
act1,165.01708888173104,44.869607746601105
pool,0.22927040100097656,0.3593594002723694
repack,0.19604129195213318,0.3254204726219177
fc1,0.8835864078998565,1.4425365924835205
act2,0.0326781439781189,0.0780068838596344
fc2,0.16200920462608337,0.24868590593338014
decrypt,0.0014692723751068115,0.0024015796184539795
total,272.65052573561667,230.9652948009968
