激活函数,明文准确率(%),密文准确率(%),明密文一致率(%),Logits最大误差,Logits平均误差,单张总耗时(s)
Poly-3,85.00,84.50,99.50,2.2710e+00,2.5792e-01,272.6505
Poly-5,85.50,84.00,96.00,5.4847e+00,4.9894e-01,230.9653
