幂次,3阶_原始,3阶_截断后,5阶_原始,5阶_截断后
0,0.5,0.5,0.49999999999999983,0.49999999999999983
1,0.21232527284090302,0.21232527284090302,0.2384464739952287,0.2384464739952287
2,0.0,0.0,6.217248937900877e-17,0.0
3,-0.004976814427678185,-0.004976814427678185,-0.011345164521765743,-0.011345164521765743
4,0.0,0.0,-2.6053233644537015e-18,0.0
5,0.0,0.0,0.00023539149998025923,0.00023539149998025923
